Statistical profiling result from noconsolelog-v8.log, (3876 ticks, 10 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.2%  Function: ^ondata /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/winston/node_modules/readable-stream/lib/_stream_readable.js:679:18
      1    0.0%    0.2%  Function: ^next /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express/lib/router/route.js:116:16
      1    0.0%    0.2%  Function: ^mergeSource /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:267:36
      1    0.0%    0.2%  Function: ^loadNativeModule node:internal/modules/cjs/helpers:44:26
      1    0.0%    0.2%  Function: ^isEncoding node:buffer:530:40
      1    0.0%    0.2%  Function: ^importModuleDynamicallyWrap node:internal/vm/module:435:37
      1    0.0%    0.2%  Function: ^hb.template /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/handlebars/dist/cjs/handlebars.runtime.js:50:26
      1    0.0%    0.2%  Function: ^get data /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express-session/session/cookie.js:117:11
      1    0.0%    0.2%  Function: ^fulfilled /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express-handlebars/dist/express-handlebars.js:21:27
      1    0.0%    0.2%  Function: ^fromStringFast node:buffer:413:24
      1    0.0%    0.2%  Function: ^finish /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/glob/common.js:122:17
      1    0.0%    0.2%  Function: ^extname node:path:1385:10
      1    0.0%    0.2%  Function: ^end /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express-session/index.js:250:27
      1    0.0%    0.2%  Function: ^emitReadable_ node:internal/streams/readable:574:23
      1    0.0%    0.2%  Function: ^each /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:91:22
      1    0.0%    0.2%  Function: ^dispatch /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express/lib/router/route.js:98:45
      1    0.0%    0.2%  Function: ^compileFunction node:vm:308:25
      1    0.0%    0.2%  Function: ^castChunk /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      1    0.0%    0.2%  Function: ^assert node:internal/assert:11:16
      1    0.0%    0.2%  Function: ^appendContent /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:375:40
      1    0.0%    0.2%  Function: ^allocate node:buffer:398:18
      1    0.0%    0.2%  Function: ^afterWriteDispatched node:internal/stream_base_commons:155:30
      1    0.0%    0.2%  Function: ^Writable.write /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/winston/node_modules/readable-stream/lib/_stream_writable.js:288:37
      1    0.0%    0.2%  Function: ^Timeout node:internal/timers:167:17
      1    0.0%    0.2%  Function: ^SourceNode_walk /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/source-map/lib/source-node.js:221:53
      1    0.0%    0.2%  Function: ^SourceNode_add /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/source-map/lib/source-node.js:172:51
      1    0.0%    0.2%  Function: ^SendStream /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/send/index.js:96:21
      1    0.0%    0.2%  Function: ^ReadableState node:internal/streams/readable:78:23
      1    0.0%    0.2%  Function: ^Readable.read /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/winston/node_modules/readable-stream/lib/_stream_readable.js:392:36
      1    0.0%    0.2%  Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1    0.0%    0.2%  Function: ^ExpressHandlebars.render /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express-handlebars/dist/express-handlebars.js:222:51
      1    0.0%    0.2%  Function: ^Cookie /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express-session/session/cookie.js:25:46
      1    0.0%    0.2%  Function: ^<anonymous> node:internal/util:347:32
      1    0.0%    0.2%  Function: ^<anonymous> node:internal/fs/utils:687:40
      1    0.0%    0.2%  Function: ^<anonymous> /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express-handlebars/dist/express-handlebars.js:98:47
      1    0.0%    0.2%  Function: ^<anonymous> /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express-handlebars/dist/express-handlebars.js:331:47
      1    0.0%    0.2%  Function: ^<anonymous> /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express-handlebars/dist/express-handlebars.js:30:40
      1    0.0%    0.2%  Function: ^<anonymous> /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      1    0.0%    0.2%  Function: ^<anonymous> /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express-handlebars/dist/express-handlebars.js:225:57
      1    0.0%    0.2%  Function: *wasm-function[15]

 [C++]:
   ticks  total  nonlib   name
